AGE (yrs),AGE_2 (yrs),d18O
212500,212625,-54.97
212750,212875,-54.76
213000,213125,-54.89
213250,213375,-54.24
213500,213625,-55.02
213750,213875,-54.48
214000,214125,-54.48
214250,214375,-54.44
214500,214625,-54.38
214750,214875,-54.65
215000,215125,-53.99
215250,215375,-54.63
215500,215625,-54.42
215750,215875,-54.44
216000,216125,-54.83
216250,216375,-54.42
216500,216625,-54.36
216750,216875,-54.53
217000,217125,-54.11
217250,217375,-53.88
217500,217625,-53.43
217750,217875,-53.88
218000,218125,-53.45
218250,218375,-54.18
218500,218625,-54.12
218750,218875,-54.23
219000,219125,-54.81
219250,219375,-54.39
219500,219625,-54.73
219750,219875,-55.36
220000,220125,-55.14
220250,220375,-55.15
220500,220625,-55.92
220750,220875,-55.88
221000,221125,-56.26
221250,221375,-56.26
221500,221625,-56.3
221750,221875,-56.13
222000,222125,-56.41
222250,222375,-56.07
222500,222625,-57.02
222750,222875,-56.6
223000,223125,-57.02
223250,223375,-57.57
223500,223625,-57.54
223750,223875,-57.3
224000,224125,-57.78
224250,224375,-57.93
224500,224625,-57.7
224750,224875,-58.22
225000,225125,-57.56
225250,225375,-58.01
225500,225625,-58.79
225750,225875,-58.88
226000,226125,-58.5
226250,226375,-58.55
226500,226625,-58.94
226750,226875,-58.89
227000,227125,-58.91
227250,227375,-58.48
227500,227625,-58
227750,227875,-58.05
228000,228125,-57.78
228250,228375,-57.84
228500,228625,-56.49
228750,228875,-57.41
229000,229125,-57.74
229250,229375,-57.69
229500,229625,-58.1
229750,229875,-58.54
230000,230125,-58.21
230250,230375,-58.59
230500,230625,-59.51
230750,230875,-59.02
231000,231125,-59.29
231250,231375,-58.95
231500,231625,-58.88
231750,231875,-57.79
232000,232125,-58.35
232250,232375,-59.06
232500,232625,-59.19
232750,232875,-58.76
233000,233125,-58.75
233250,233375,-58.75
233500,233625,-58.81
233750,233875,-58.41
234000,234125,-58.51
234250,234375,-58.29
234500,234625,-58.22
234750,234875,-58.61
235000,235125,-57.96
235250,235375,-57.97
235500,235625,-57.93
235750,235875,-57.86
236000,236125,-57.4
236250,236375,-57.17
236500,236625,-56.95
236750,236875,-57.03
237000,237125,-56.08
237250,237375,-56.21
237500,237625,-56.08
237750,237875,-56.3
238000,238125,-55.86
238250,238375,-55.6
238500,238625,-55.87
238750,238875,-55.37
239000,239125,-55.47
239250,239375,-55.14
239500,239625,-55.4
239750,239875,-55.43
240000,240125,-55.51
240250,240375,-55.09
240500,240625,-54.81
240750,240875,-54.61
241000,241125,-54.49
241250,241375,-54.15
241500,241625,-53.96
241750,241875,-53.08
242000,242125,-53.23
242250,242375,-53.25
242500,242625,-52.16
242750,242875,-51.79
243000,243125,-51.63
243250,243375,-51.84
243500,243625,-52.08
243750,243875,-52.9
244000,244125,-52.8
244250,244375,-52.92
244500,244625,-54.04
244750,244875,-54.52
245000,245125,-55
245250,245375,-54.81
245500,245625,-55.29
245750,245875,-55.88
246000,246125,-55.97
246250,246375,-56.2
246500,246625,-56.42
246750,246875,-57.16
247000,247125,-57.28
247250,247375,-57.04
247500,247625,-57.45
247750,247875,-57.34
248000,248125,-56.96
248250,248375,-56.58
248500,248625,-56.93
248750,248875,-56.53
249000,249125,-56.74
249250,249375,-57.36
249500,249625,-57.6
249750,249875,-57.96
250000,250125,-58.24
250250,250375,-58.1
250500,250625,-58.05
250750,250875,-58.01
251000,251125,-57.58
251250,251375,-58.01
251500,251625,-57.88
251750,251875,-58.51
252000,252125,-58.17
252250,252375,-58.4
252500,252625,-58.53
252750,252875,-58.06
253000,253125,-58.22
253250,253375,-58.44
253500,253625,-58.13
253750,253875,-58.45
254000,254125,-58.63
254250,254375,-58.38
254500,254750,-58.56
255000,255250,-58.36
255500,255750,-58.26
256000,256250,-58.02
256500,256750,-57.9
257000,257250,-57.95
257500,257750,-57.64
258000,258250,-58.21
258500,258750,-57.91
259000,259250,-58.51
259500,259750,-57.84
260000,260250,-58.13
260500,260750,-58.22
261000,261250,-58.08
261500,261750,-57.9
262000,262250,-57.34
262500,262750,-57.71
263000,263250,-58.22
263500,263750,-58.24
264000,264250,-58.13
264500,264750,-58.29
265000,265250,-58.49
265500,265750,-59.18
266000,266250,-58.75
266500,266750,-58.92
267000,267250,-58.91
267500,267750,-59.1
268000,268250,-58.88
268500,268750,-59.44
269000,269250,-59.48
269500,269750,-59.4
270000,270250,-59.75
270500,270750,-59.53
271000,271250,-59.54
271500,271750,-59.5
272000,272250,-59.56
272500,272750,-59.64
273000,273250,-59.19
273500,273750,-59.35
274000,274250,-59.33
274500,274750,-59.45
275000,275250,-59.37
275500,275750,-59.22
276000,276250,-59.37
276500,276750,-59.67
277000,277250,-58.92
277500,277750,-59.33
278000,278250,-59.42
278500,278750,-59.24
279000,279250,-59.36
279500,279750,-59.32
280000,280250,-59.32
280500,280750,-59.32
281000,281250,-59.32
281500,281750,-59.26
282000,282250,-58.78
282500,282750,-58.72
283000,283250,-58.1
283500,283750,-57.86
284000,284250,-58.07
284500,284750,-57.89
285000,285250,-57.32
285500,285750,-57.13
286000,286250,-57.2
286500,286750,-56.65
287000,287250,-56.49
287500,287750,-56.23
288000,288250,-56.07
288500,288750,-56.03
289000,289250,-56.17
289500,289750,-56.1
