Age [ka BP],d18O recon [per mil] (d18O values corrected for sea...)
7.695,-44.84
7.7045,-45.13
7.714,-44.78
7.7235,-43.67
7.733,-42.95
7.743,-44.71
7.753,-45.26
7.763,-44.6
7.773,-44.56
7.7825,-45.03
7.792,-43.69
7.802,-44.97
7.812,-45.04
7.8225,-43.65
7.8335,-44.89
7.844,-45.07
7.8545,-44.49
7.865,-44.97
7.875,-44.92
7.885,-44.96
7.895,-44.72
7.9055,-44.67
7.916,-45.14
7.926,-43.92
7.936,-43.9
7.946,-45.79
7.9565,-44.74
7.967,-44.97
7.977,-46.45
7.9875,-44.78
7.998,-45.13
8.0085,-44.97
8.019,-45.35
8.0295,-45.38
8.04,-44.73
8.0505,-44.43
8.0615,-45.2
8.0725,-45.39
8.083,-44.76
8.0935,-44.57
8.104,-45.26
8.1135,-45.42
8.123,-44.38
8.133,-44.48
8.1435,-44.21
8.1545,-44.13
8.1655,-45.74
8.1765,-45.16
8.1875,-44.87
8.1985,-45.87
8.2095,-45.94
8.22,-44.52
8.2305,-43.99
8.241,-45.98
8.251,-44.6
8.261,-44.01
8.271,-44.06
8.2815,-43.83
8.292,-45.6
8.302,-44.87
8.312,-45.17
8.3225,-45.4
8.333,-45.86
8.3435,-45.4
8.354,-45.34
8.3645,-45
8.3755,-45.57
8.386,-44.95
8.3965,-44.85
8.4075,-44.84
8.418,-44.25
8.4285,-44.65
8.439,-44.34
8.449,-45.86
8.459,-43.81
8.469,-45.61
8.479,-44.7
8.489,-44.39
8.499,-45.26
8.509,-45.12
8.5195,-43.94
8.53,-45.89
8.54,-44.3
8.5505,-45.41
8.561,-45.11
8.571,-44.58
8.581,-45.18
8.591,-44.71
8.601,-44.8
8.611,-46.41
8.621,-46.38
8.6315,-45.28
8.642,-44.34
8.652,-44.92
8.6625,-44.75
8.673,-44.92
8.6835,-44.3
8.6945,-44.96
8.7055,-44.54
8.7165,-44.51
8.7275,-45.06
8.7385,-44.95
8.749,-44.44
8.7595,-45.95
8.77,-43.09
8.7805,-43.9
8.7915,-44.78
8.803,-44.61
8.8145,-45.98
8.826,-45.93
